School,Number,Homeroom,Boomilever,Elastic Launched Glider,Mission Possible,Mousetrap Vehicle,Ping-Pong Parachute,Picture This
Atrium School,1,Sever 211,8:20 AM,11:30 AM,12:20 PM,12:30 PM,1:30 PM,9:40 AM
Barrington Middle School A,2,Sever 103,8:00 AM,8:20 AM,8:40 AM,11:20 AM,12:20 PM,9:00 AM
Barrington Middle School B,3,Sever 103,8:30 AM,9:20 AM,9:40 AM,9:20 AM,10:30 AM,9:20 AM
Bedford MS A,4,Sever 202,1:00 AM,10:20 AM,11:00 AM,8:20 AM,12:00 PM,1:00 AM
Bedford MS B,5,Sever 202,9:40 AM,10:10 AM,10:50 AM,8:30 AM,12:10 PM,1:00 AM
Buffalo Academy of Science Charter Middle School,6,Sever 107,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Coolidge Middle School A,7,Sever 206,8:40 AM,11:10 AM,9:20 AM,9:50 AM,1:00 AM,1:10 PM
Coolidge Middle School B,8,Sever 206,8:50 AM,11:20 AM,12:00 PM,9:30 AM,1:00 AM,10:20 AM
Ephraim Curtis Middle School A,9,Sever 111,1:00 AM,1:00 AM,11:10 AM,10:40 AM,11:40 AM,11:20 AM
Ephraim Curtis Middle School B,10,Sever 111,11:20 AM,10:50 AM,1:20 PM,11:00 AM,12:30 PM,12:50 PM
Central Jersey College Prep,11,Sever 308,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Gallagher MS,12,Sever 109,1:30 PM,1:20 PM,8:30 AM,12:20 PM,11:10 AM,11:10 AM
Galvin Middle School A,13,Sever 306,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Galvin Middle School B,14,Sever 306,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Glenbrook Middle,15,Sever 209,1:00 AM,9:10 AM,1:00 AM,1:00 AM,9:20 AM,11:00 AM
Howard Goff Middle School A,16,Sever 210,1:00 AM,12:30 PM,10:10 AM,10:00 AM,1:10 PM,9:30 AM
Howard Goff Middle School B,17,Sever 210,1:00 PM,10:40 AM,11:30 AM,1:30 PM,10:20 AM,9:10 AM
Kickemuit Middle School,18,Sever 307,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Longfellow Middle School A,19,Sever 102,12:50 PM,12:20 PM,10:30 AM,11:30 AM,8:20 AM,1:00 AM
Longfellow Middle School B,20,Sever 102,1:10 PM,11:40 AM,10:20 AM,10:10 AM,8:10 AM,1:00 AM
Lyme-Old Lyme Middle School A,21,Sever 113,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Lyme-Old Lyme Middle School B,22,Sever 113,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
North Cumberland Middle School,23,Sever 207,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Rindge Upper Middle School,24,Sever 308,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Rising Star Academy,25,Sever 208,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Walpole School,26,Sever 303,8:10 AM,11:00 AM,10:00 AM,9:00 AM,1:00 PM,1:00 PM
Tarbiyah School A,27,Sever 203,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Tarbiyah School B,28,Sever 203,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Thomas Edison EnergySmart Charter School A,29,Sever 214,11:10 AM,10:30 AM,1:10 PM,12:40 PM,1:20 PM,1:00 AM
Thomas Edison EnergySmart Charter School B,30,Sever 214,9:20 AM,1:00 AM,1:00 AM,1:50 PM,1:00 AM,10:10 AM
Wellesley Middle School,31,Sever 105,9:30 AM,12:00 PM,1:00 PM,12:10 PM,10:40 AM,1:00 AM
Diamond Middle School,32,Sever 204,10:10 AM,12:10 PM,9:00 AM,12:00 PM,1:50 PM,1:00 AM