School,Number,Homeroom,Boomilever,Detector Building,Gravity Vehicle,Ping-Pong Parachute,Sounds of Music,Wright Stuff,Picture This,Data Science
Acton-Boxborough Regional High School  A,1,Sever 102,10:00 AM,11:15 AM,12:30 PM,3:00 PM,10:00 AM,3:00 PM,1:00 AM,1:00 AM
Acton-Boxborough Regional High School  B,2,Sever 102,11:15 AM,1:45 PM,10:00 AM,11:15 AM,11:15 AM,3:00 PM,1:00 AM,1:00 AM
Amity School  A,4,Sever 104,10:00 AM,3:00 PM,1:00 AM,11:15 AM,1:00 AM,12:30 PM,1:45 PM,1:00 AM
Amherst Regional High School,3,Sever 101,3:00 PM,8:45 AM,1:45 PM,10:00 AM,12:30 PM,10:00 AM,11:15 AM,1:00 AM
Andover High School  A,5,Sever 105,11:15 AM,10:00 AM,1:45 PM,10:00 AM,8:45 AM,3:00 PM,1:45 PM,8:45 AM
Arlington High School  A,6,Sever 107,10:00 AM,10:00 AM,11:15 AM,12:30 PM,8:45 AM,1:00 AM,1:00 AM,10:00 AM
Bedford High School  A,7,Sever 103,10:00 AM,10:00 AM,10:00 AM,12:30 PM,11:15 AM,3:00 PM,1:00 AM,1:00 AM
Bedford High School  B,8,Sever 103,10:00 AM,10:00 AM,10:00 AM,11:15 AM,11:15 AM,3:00 PM,1:00 AM,1:00 AM
Belmont High School  A,9,Sever 109,1:45 PM,12:30 PM,3:00 PM,1:00 AM,1:45 PM,12:00 PM,11:15 AM,10:00 AM
Bishop Brady Brainiacs,10,Sever 111,8:45 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Bishop Gorman  A,11,Sever 112,1:00 AM,1:00 AM,1:00 AM,3:00 PM,1:00 AM,12:30 PM,1:00 AM,10:00 AM
Boston Latin School A,12,Sever 211,8:45 AM,11:15 AM,12:30 PM,3:00 PM,1:00 AM,1:00 AM,1:45 PM,1:00 AM
Boston University Academy A,13,Sever 201,3:00 PM,8:45 AM,8:45 AM,10:00 AM,12:30 PM,1:45 PM,1:00 AM,1:00 AM
Brookwood HS A,14,Sever 106,11:15 AM,11:15 AM,12:30 PM,8:45 AM,3:00 PM,3:00 PM,3:00 PM,8:45 AM
Brookwood HS B,15,Sever 106,11:15 AM,11:15 AM,3:00 PM,10:00 AM,10:00 AM,3:00 PM,3:00 PM,1:00 AM
Cambridge Rindge and Latin School A,16,Sever 204,1:45 PM,1:00 AM,8:45 AM,1:00 AM,1:45 PM,11:15 AM,1:00 AM,1:00 AM
Chelmsford High School A,17,Sever 205,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Falmouth HS A,18,Sever 207,3:00 PM,11:15 AM,1:45 PM,1:45 PM,11:15 AM,3:00 PM,1:00 AM,1:00 AM
Franklin High School A,19,Sever 208,11:15 AM,8:45 AM,1:45 PM,8:45 AM,3:00 PM,1:45 PM,1:45 PM,8:45 AM
Hampden Charter School of Science A,20,Sever 209,8:45 AM,1:00 AM,8:45 AM,1:00 AM,1:00 AM,12:30 PM,3:00 PM,1:00 AM
Hillsborough High School A,21,Sever 110,10:00 AM,11:15 AM,1:45 PM,3:00 PM,12:30 PM,1:45 PM,3:00 PM,12:30 PM
Hillsborough High School B,22,Sever 110,11:15 AM,12:30 PM,1:45 PM,12:30 PM,1:45 PM,10:00 AM,3:00 PM,1:45 PM
Lebanon Voyager and Enterprise  A,23,Sever 202,11:15 AM,1:00 AM,12:30 PM,8:45 AM,1:45 PM,1:45 PM,1:00 AM,1:00 AM
Lebanon Voyager and Enterprise  B,24,Sever 202,8:45 AM,10:00 AM,10:00 AM,1:45 PM,8:45 AM,12:30 PM,1:00 AM,1:00 AM
Lexington High School  A,25,Sever 203,1:45 PM,10:00 AM,12:30 PM,12:30 PM,8:45 AM,11:15 AM,1:00 AM,1:00 AM
Lexington High School  B,26,Sever 203,11:15 AM,11:15 AM,10:00 AM,3:00 PM,8:45 AM,1:45 PM,1:00 AM,1:00 AM
Littleton High School  A,27,Sever 212,11:15 AM,1:00 AM,3:00 PM,12:30 PM,12:30 PM,12:30 PM,1:00 AM,1:00 AM
Longmeadow High School Science Olympiad  A,28,Sever 215,10:00 AM,1:45 PM,3:00 PM,1:45 PM,8:45 AM,1:00 AM,1:00 AM,1:00 AM
Merrimack HS  A,29,Sever 206,3:00 PM,1:45 PM,1:45 PM,8:45 AM,8:45 AM,12:30 PM,1:00 AM,1:00 AM
Merrimack High School  B,30,Sever 206,3:00 PM,8:45 AM,3:00 PM,1:45 PM,10:00 AM,1:45 PM,1:00 AM,1:00 AM
Milton Academy  A,31,Sever 302,12:30 PM,1:45 PM,11:15 AM,11:15 AM,1:45 PM,11:15 AM,8:45 AM,3:00 PM
Nashua High School North  A,32,Sever 210,3:00 PM,1:45 PM,10:00 AM,1:45 PM,3:00 PM,11:15 AM,1:00 AM,1:00 AM
Nashua High School North  B,33,Sever 210,1:00 AM,1:00 AM,1:45 PM,12:30 PM,1:00 AM,12:30 PM,1:00 AM,1:00 AM
Newton North A,34,Sever 303,3:00 PM,1:00 AM,3:00 PM,1:45 PM,12:30 PM,1:00 AM,1:00 AM,1:00 AM
Phillips Academy  A,35,Sever 308,12:30 PM,11:15 AM,8:45 AM,11:15 AM,10:00 AM,10:00 AM,1:45 PM,3:00 PM
Reading Memorial High School A,36,Sever 305,11:15 AM,1:00 AM,1:45 PM,11:15 AM,10:00 AM,1:45 PM,3:00 PM,1:00 AM
Rising Star Academy HS A,37,Sever 307,10:00 AM,12:30 PM,10:00 AM,3:00 PM,1:45 PM,12:30 PM,3:00 PM,11:15 AM
Sharon High School A,38,Sever 310,10:00 AM,1:00 AM,8:45 AM,8:45 AM,12:30 PM,10:00 AM,1:45 PM,12:30 PM
South High Community School A,39,Sever 213,1:45 PM,8:45 AM,8:45 AM,10:00 AM,12:30 PM,10:00 AM,3:00 PM,1:45 PM
South High Community School B,40,Sever 213,8:45 AM,8:45 AM,1:00 AM,10:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
New Bedford High School A,41,Sever 214,12:30 PM,1:00 AM,12:30 PM,1:45 PM,1:45 PM,10:00 AM,1:00 AM,1:00 AM
N/A,42,Science TBD,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
The Bishop Strachan School A,43,Sever 306,3:00 PM,3:00 PM,11:15 AM,8:45 AM,8:45 AM,12:00 PM,1:00 AM,1:00 AM
The Bishop Strachan School B,44,Sever 306,3:00 PM,8:45 AM,8:45 AM,10:00 AM,1:45 PM,1:00 AM,1:00 AM,1:00 AM
Uxbridge High School A,45,EM 104,8:45 AM,12:30 PM,10:00 AM,8:45 AM,10:00 AM,1:45 PM,3:00 PM,1:00 AM
Uxbridge High School B,46,EM 104,10:00 AM,3:00 PM,8:45 AM,1:45 PM,10:00 AM,3:00 PM,1:00 AM,1:00 AM
Walton High School  A,47,Sever 304,3:00 PM,8:45 AM,11:15 AM,1:45 PM,11:15 AM,1:45 PM,12:30 PM,3:00 PM
Waterville Senior HS  A,48,EM 108,1:45 PM,3:00 PM,12:30 PM,8:45 AM,10:00 AM,11:15 AM,1:00 AM,1:00 AM
Waterville Senior HS  B,49,EM 108,1:45 PM,3:00 PM,12:30 PM,8:45 AM,10:00 AM,11:15 AM,1:00 AM,1:00 AM
Waynflete School  A,50,Sever 113,8:45 AM,11:15 AM,3:00 PM,12:30 PM,11:15 AM,10:00 AM,1:00 AM,1:00 AM
Wellesley High School  A,51,Sever 113,1:45 PM,8:45 AM,11:15 AM,3:00 PM,12:30 PM,10:00 AM,10:00 AM,8:45 AM
Westborough High School  A,52,EM 105,8:45 AM,10:00 AM,10:00 AM,10:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Westborough High School  B,53,EM 105,8:45 AM,10:00 AM,10:00 AM,1:00 AM,11:15 AM,1:00 AM,1:00 AM,1:00 AM
Westford Academy  A,54,EM 105,3:00 PM,8:45 AM,8:45 AM,10:00 AM,8:45 AM,1:45 PM,12:30 PM,3:00 PM
Weston HS  A,55,EM 106,1:40 PM,10:00 AM,11:15 AM,12:30 PM,3:00 PM,12:30 PM,8:45 AM,8:45 AM
Wilbraham & Monson Academy  A,56,EM 105,12:30 PM,10:00 AM,8:45 AM,10:00 AM,1:45 PM,11:15 AM,1:00 AM,1:00 AM
Winchester HS  A,57,Sever 113,8:45 AM,3:00 PM,12:30 PM,3:00 PM,10:00 AM,3:00 PM,1:00 AM,1:00 AM
Winthrop High School  A,58,Sever 113,1:00 AM,1:00 AM,11:15 AM,1:45 PM,12:30 PM,1:00 AM,10:00 AM,1:00 AM
Saint Johnsbury Academy  A,59,EM 101,12:30 PM,12:30 PM,1:45 PM,11:15 AM,3:00 PM,10:00 AM,10:00 AM,8:45 AM
Saint Johnsbury Academy  B,60,EM 101,12:30 PM,1:00 AM,11:15 AM,8:45 AM,3:00 PM,1:00 AM,8:45 AM,11:15 AM